CUSIP,Issuer,Issue Date,Maturity Date,Coupon Rate,Price,Par Value,Market Value,Rating,Sector
MTZ7TWFJZ,PUDCE3,2004-12-5,2037-4-18,9.07,94.62,742.15,8035.87,BB,Materials
3RAYDVZIO,LOSYR2,1997-3-13,2026-10-22,8.72,85.01,305.22,8276.32,AA,Utilities
U298O02R4,1PRHW7,2022-6-26,2030-11-8,3.32,102.84,947.62,9275.05,AA,Energy
4BK010E1W,YF8TO0,2003-4-27,2032-2-25,8.64,116.6,386.8,8148.68,AA,Industrials
AQ38Q3T16,G3UBLA,1997-10-14,2048-12-10,2.42,106.6,439.52,3008.81,AAA,Real Estate
2SFAKR6M3,F5YLNZ,1996-10-4,2047-9-20,6.51,82.79,615.43,7588.21,CCC,Materials
P1X6E2Y4M,0DZNI9,2017-2-10,2041-2-11,8.15,88.96,190.89,2440.47,D,Technology
TYRSN0104,L12KPL,1987-2-22,2040-9-7,3.08,92.5,462.15,3353.76,AAA,Real Estate
8X6EKSGRJ,W5LIPY,2015-1-19,2044-3-24,8.63,100.82,610.06,9133.07,AAA,Technology
2PIQMJNDF,ODTTQZ,2011-8-25,2033-11-16,1.27,83.24,114.83,5730.95,C,Real Estate
E2T1O3ADE,RKYCN4,1983-4-5,2027-4-16,2.47,88.1,676.14,7401.51,BB,Industrials
JVTWT3F86,74VPOK,2019-5-1,2030-6-17,3.2,94.99,369.35,5422.2,AAA,Materials
SVN336TP0,FE6P7A,1993-3-5,2029-11-15,9.43,98.57,535.2,2503.54,C,Energy
DV2IP5YNH,83Y8NE,2012-2-6,2047-2-27,1.61,108.02,771.82,4822.16,AAA,Technology
5ZXKGSUFD,NF5NQH,1982-4-8,2025-3-18,5.38,96.24,141.89,4802.77,BB,Energy
HPZIOH4AI,300KOU,2019-3-8,2047-4-18,9.85,88.39,841.09,5471.26,BBB,Consumer Discretionary
RF5931GD0,ASL9CD,1981-6-8,2031-10-7,0.29,106.43,421.1,4526.4,A,Industrials
OHAO4TJ7E,8ZJJYO,2021-9-15,2038-10-18,3.87,98.85,980.11,6401.63,AA,Energy
AKV65C9M2,8NVQZW,2003-10-10,2040-4-13,1.52,91.31,508.64,7982.35,AAA,Real Estate
YBAUZQ6S6,7NIISP,2004-1-21,2041-6-17,1.15,104.34,287.61,9691.87,C,Utilities
68EQXPQKJ,B06DZ9,2008-2-5,2047-9-28,3.89,102.94,291.62,3222.05,B,Industrials
SHGI705Q0,0N3S0R,2004-10-15,2031-12-10,0.61,106.96,598.73,3566.23,C,Energy
1V8OQWLOK,HFMG1J,1997-7-12,2033-6-27,8.54,96.77,882.99,4665.96,AA,Real Estate
T346TT5YN,Z4AQDN,1987-8-14,2025-1-22,8.69,102.01,815.94,8219.27,CC,Materials
LG19GUNRS,C0F1SC,2019-8-6,2037-7-8,3.25,88.07,245.24,4371.01,B,Utilities
HZ8B42344,M7R8AY,2008-1-21,2043-3-2,6.34,87.04,325.54,1025.97,AAA,Finance
WC2PX48Q1,LKE72Y,2003-11-1,2032-3-28,6.94,100.24,943.66,6313.68,B,Energy
GBFHJ2X88,1E1FVL,2023-1-28,2025-3-5,5.61,113.51,271.24,3956.44,BB,Industrials
DFI38PVWV,O6RZFO,1986-8-27,2042-11-23,6.95,118.89,937.96,4695.66,AAA,Real Estate
V8MV9YT07,BFKTTY,2019-8-2,2031-1-17,3.43,111.07,985.34,9201.44,C,Energy
B5XEF9O1G,JV488E,1990-5-16,2040-6-25,6.47,104.49,996.12,2112.0,CC,Utilities
SIOO8WW5C,N8A1KR,1993-1-20,2034-10-27,0.56,82.03,192.5,9193.98,A,Consumer Discretionary
EL9PY1QXH,E0FF7E,1988-1-15,2041-5-15,5.16,104.05,378.82,2975.36,AAA,Utilities
UNW8LPYKV,92F2SR,1992-6-22,2033-7-3,3.18,113.01,288.89,5822.31,C,Consumer Discretionary
00O29FTF4,0LSUNA,2019-12-14,2044-2-15,4.71,109.4,873.64,5426.62,BB,Consumer Staples
LN8WORVTI,8DVEXW,2011-7-1,2026-11-23,7.22,104.41,549.04,1070.22,AA,Utilities
YNH2DO8W2,OY0CH1,1994-11-25,2030-7-9,7.54,110.06,600.17,4768.02,BB,Real Estate
AV6AKRBA3,SWCJIN,2022-10-6,2047-7-12,9.62,102.46,663.78,1329.25,C,Healthcare
F73IQFUGO,1ODPWS,1994-4-23,2026-1-17,5.73,106.04,357.21,7628.95,BBB,Finance
NB1KI7SAS,1GA40V,2010-7-20,2043-12-20,5.41,119.81,972.42,2525.5,BBB,Materials
W5YP4THQU,GPLOY0,2010-7-18,2024-3-27,9.62,96.62,155.27,6342.05,C,Materials
0BONUSISX,9LZ1YI,2010-5-2,2025-5-24,9.11,119.82,821.17,3428.82,A,Consumer Staples
ZIT4EYUYG,6ZSGM8,2020-9-25,2045-5-9,7.52,105.78,804.2,6233.83,B,Healthcare
KTLLY1YRT,4A6PX9,1997-12-13,2049-4-18,4.0,106.66,405.71,7622.24,BBB,Healthcare
4YNZ2N2PM,OKVJPA,1998-5-9,2040-10-5,2.25,82.72,583.71,1504.26,CCC,Real Estate
VDUBPO0EN,MTJPRB,2012-9-5,2036-10-7,8.83,103.23,516.02,7758.26,A,Real Estate
RFB7T7GDM,4PBFAL,1993-11-22,2030-3-16,7.65,99.59,407.01,4622.7,CC,Healthcare
58KSD06RZ,JML9DD,1989-3-20,2033-8-19,9.65,98.13,977.49,4495.22,C,Finance
QU891CFJC,KXPQW0,2001-2-17,2050-11-13,1.55,108.12,995.61,2778.53,AAA,Energy
CG3SPCCY2,EW93JM,1988-2-9,2030-12-10,2.18,80.37,633.02,2329.56,AAA,Technology
772RZYVBU,87JIGN,1993-12-3,2028-10-23,8.52,118.29,511.53,8405.01,A,Energy
Z37J3BM5K,HYUCDX,2016-4-14,2024-11-17,2.12,102.36,240.59,6871.07,BB,Utilities
PRJH4KNP2,93CJ7N,1992-7-18,2042-10-21,2.93,85.87,597.48,3867.13,CC,Industrials
G9X862NZ2,F82AK4,1994-7-19,2043-1-25,9.54,116.56,560.22,6315.33,CC,Consumer Staples
T9F9JNVW6,68GSA5,1985-3-14,2041-8-3,3.05,102.88,657.02,1166.01,B,Finance
WGGJLEQR5,0UBR3H,1981-1-3,2042-4-18,5.84,103.15,586.58,8836.23,AAA,Industrials
Y1VSXTZUS,QHB9NV,2014-4-16,2030-12-2,1.77,112.04,405.9,6575.33,D,Industrials
L1O07PSEA,HAR8M6,2013-6-7,2048-11-6,5.62,110.86,352.05,4829.66,A,Healthcare
OLE7RELMB,TRRIBU,1982-7-28,2040-12-13,0.92,83.43,278.99,3440.81,BB,Consumer Staples
Y67QL2P6E,GG9Y0S,2009-11-13,2042-7-12,4.02,103.36,276.75,5956.95,BB,Technology
NQHSZZNA1,8HUKM6,1985-12-18,2040-8-25,7.17,112.24,857.48,2623.98,A,Healthcare
I9EMVE9SR,I8S6A5,2000-3-2,2026-12-26,2.28,88.92,635.58,5623.95,A,Real Estate
22UHVUCBX,MQ02E7,1992-1-3,2030-2-16,4.05,80.88,827.78,2479.85,BBB,Finance
0IR5C5R1L,QXCC2I,2002-5-10,2042-1-7,5.22,91.34,433.41,8538.39,CCC,Real Estate
KRHQR5C86,W6GIYW,2011-12-19,2046-8-28,3.51,113.24,635.61,9649.55,BB,Consumer Staples
CMJGWH6K6,X3A8AI,1989-6-20,2039-3-23,2.99,103.68,660.27,1523.83,CC,Healthcare
1PPFIC2O4,AQHZ1L,2004-10-24,2037-8-19,1.62,109.65,894.69,8220.72,A,Energy
KFR5HT56T,1OXRDU,2018-9-21,2043-10-18,9.66,95.06,174.05,1006.09,BBB,Energy
K0QROCP8D,TUFCQV,1994-10-10,2043-2-15,5.54,103.56,803.87,8833.47,BB,Real Estate
N4GE6SPEJ,RA3C6G,2014-6-20,2025-8-26,9.8,102.47,210.31,6133.7,CC,Materials
SZG46SJTK,GVSAY9,1999-9-9,2050-12-6,1.54,109.31,354.41,9738.75,CCC,Energy
AKUHL0IMF,D7I0SE,1999-10-21,2039-7-9,6.99,104.7,361.46,7913.51,BBB,Consumer Staples
VJBB3VG7X,UZIYFQ,1996-6-3,2035-5-23,0.31,113.36,442.36,5245.35,C,Industrials
KN464IEDR,N2X9IW,1992-6-16,2038-4-15,7.86,84.97,559.68,9977.83,C,Finance
VRTAZOG62,PAQ9ZL,1981-8-7,2045-6-5,0.57,98.91,631.84,5839.81,AAA,Finance
WK8IB3G76,MREXX5,1994-7-3,2031-12-2,6.67,106.53,185.14,4536.91,AA,Materials
Z58XZX6ZV,BRQL2M,1985-2-16,2046-3-4,0.23,110.16,940.01,9032.36,B,Utilities
1NCK0WS58,82EJIR,2009-3-25,2040-7-1,7.48,105.23,961.64,9893.41,AA,Consumer Discretionary
7MFSFK2LK,4RQ2XV,1997-3-2,2031-5-10,1.9,94.44,332.65,4854.21,BBB,Healthcare
QPT5PMG5A,U0UYJG,1992-1-9,2025-1-1,4.61,115.8,143.93,1300.62,B,Energy
YRFNABSZU,DJEPTF,2008-4-22,2026-8-15,2.93,102.38,121.59,4309.78,A,Consumer Staples
FJIAJOQHI,96743Z,1983-7-14,2031-11-8,3.61,87.37,124.85,4493.36,BB,Materials
MI63ZGEY5,O0F6Z8,2020-4-28,2033-10-8,9.06,106.6,397.0,2899.53,B,Healthcare
AXE4OQ4Q4,K3IFOI,2014-4-18,2042-11-25,4.99,112.29,219.48,8709.85,BBB,Real Estate
TVG9PENSP,C9GBXO,2014-9-6,2035-2-20,1.82,104.16,979.81,8653.15,BBB,Utilities
LABVCDN5L,ISITYP,1999-7-26,2047-9-14,0.16,112.76,862.57,9257.0,BBB,Industrials
NQT99CMAS,DEWY38,1981-9-1,2033-4-11,7.28,95.24,607.02,4300.04,CC,Consumer Discretionary
K0NR5UCZS,ME55DS,2012-1-25,2050-6-24,3.91,92.88,650.72,9668.82,B,Materials
UW0OTER1K,JO1KV6,1999-6-6,2046-3-14,1.96,118.9,315.68,7554.74,C,Consumer Discretionary
LJ3OJPC9C,8LNQGD,1984-2-10,2045-1-11,0.84,114.01,490.17,1549.69,B,Healthcare
3G2WJZ11Q,OEJOOL,1992-6-7,2038-5-1,6.16,86.25,561.38,6225.23,A,Technology
N5M4QW7U8,52R33Q,1981-3-9,2050-1-28,3.11,103.37,880.98,9089.47,BBB,Consumer Discretionary
IG91G0GL3,BOGZJ4,2021-9-28,2047-3-22,5.92,90.54,863.86,8661.32,CC,Materials
91HUMMX5V,TQVZAP,1980-5-17,2031-12-12,6.31,110.22,705.23,4115.7,D,Technology
L2K7H2ETO,OUDEHG,1981-7-9,2037-3-10,6.92,104.45,448.62,6727.74,AA,Finance
01UWA4UG7,V91BVY,2020-5-12,2040-2-20,0.91,109.14,114.93,4781.4,C,Finance
MDO8ROJEY,N838QH,1985-5-17,2042-8-1,9.46,96.59,207.56,3572.88,B,Technology
L183IRJ8T,25KU0F,2009-12-23,2035-8-26,6.57,115.92,965.46,5728.6,AA,Technology
TE5LVTIOE,8J7LFM,2008-11-7,2026-1-5,2.31,82.73,632.62,1782.3,B,Finance
9310LN8P7,3AQ11X,2020-2-22,2034-7-23,1.48,87.45,346.45,7867.65,BBB,Finance
SDQL9RJV7,5B0JJT,1985-1-22,2026-3-27,0.85,92.54,705.26,1089.18,BB,Materials
WJET939FI,A42YBW,1991-4-22,2035-4-12,5.09,86.62,763.09,4841.43,D,Materials
3B18M1LDO,7OIQNN,2005-11-22,2025-8-27,1.63,88.61,809.82,2116.3,CC,Consumer Staples
QNX4554PM,HRJFVM,2013-7-9,2043-8-7,9.53,111.82,361.21,7135.33,D,Materials
YO3N4ZIDU,K04DII,1983-3-28,2024-12-16,5.51,80.53,651.25,1781.03,CC,Technology
4Z4T1C6SP,D0PYC0,2001-11-27,2044-1-1,4.32,108.76,838.29,9123.96,B,Consumer Staples
